Variable,Description
record_id,Unique record identifier
issue_d,The month which the loan was funded
loan_amnt,The listed amount of the loan applied for by the borrower.
term,The number of payments on the loan. 
int_rate,Interest Rate on the loan
installment,The monthly payment owed by the borrower if the loan originates.
score,Risk score
loan_status,Current status of the loan
total_pymnt,Payments received to date for total amount funded
last_pymnt_d,Last month payment was received
emp_title,The job title supplied by the Borrower when applying for the loan.*
emp_length,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years. 
home_ownership,"The home ownership status provided by the borrower during registration or obtained from the credit report. Our values are: RENT, OWN, MORTGAGE, OTHER"
annual_inc,The self-reported annual income provided by the borrower during registration.
verification_status,"Indicates if income was verified, not verified, or if the income source was verified"
purpose,A category provided by the borrower for the loan request. 
title,The loan title provided by the borrower
zip_code,The first 3 numbers of the zip code provided by the borrower in the loan application.
addr_state,The state provided by the borrower in the loan application
dti,"A ratio calculated using the borrower's total monthly debt payments on the total debt obligations, excluding mortgage, divided by the borrower's self-reported monthly income."
delinq_2yrs,The number of 30+ days past-due incidences of delinquency in the borrower's credit file for the past 2 years
earliest_cr_line,The month the borrower's earliest reported credit line was opened
inq_last_6mths,The number of inquiries in past 6 months (excluding auto and mortgage inquiries)
mths_since_last_delinq,The number of months since the borrower's last delinquency.
mths_since_last_record,The number of months since the last public record.
open_acc,The number of open credit lines in the borrower's credit file.
pub_rec,Number of derogatory public records
revol_bal,Total credit revolving balance
revol_util,"Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit."
total_acc,The total number of credit lines currently in the borrower's credit file
collections_12_mths_ex_med,Number of collections in 12 months excluding medical collections
mths_since_last_major_derog,Months since most recent 90-day or worse rating
acc_now_delinq,The number of accounts on which the borrower is now delinquent.
tot_coll_amt,Total collection amounts ever owed
tot_cur_bal,Total current balance of all accounts
total_rev_hi_lim,Total revolving high credit/credit limit
acc_open_past_24mths,Number of trades opened in past 24 months.
avg_cur_bal,Average current balance of all accounts
bc_open_to_buy,Total open to buy on revolving bankcards.
bc_util,Ratio of total current balance to high credit/credit limit for all bankcard accounts.
chargeoff_within_12_mths,Number of charge-offs within 12 months
mo_sin_old_il_acct,Months since oldest bank installment account opened
mo_sin_old_rev_tl_op,Months since oldest revolving account opened
mo_sin_rcnt_rev_tl_op,Months since most recent revolving account opened
mo_sin_rcnt_tl,Months since most recent account opened
mort_acc,Number of mortgage accounts.
mths_since_recent_bc,Months since most recent bankcard account opened.
mths_since_recent_bc_dlq,Months since most recent bankcard delinquency
mths_since_recent_inq,Months since most recent inquiry.
mths_since_recent_revol_delinq,Months since most recent revolving delinquency.
num_accts_ever_120_pd,Number of accounts ever 120 or more days past due
num_actv_bc_tl,Number of currently active bankcard accounts
num_actv_rev_tl,Number of currently active revolving trades
num_bc_sats,Number of satisfactory bankcard accounts
num_bc_tl,Number of bankcard accounts
num_il_tl,Number of installment accounts
num_op_rev_tl,Number of open revolving accounts
num_rev_accts,Number of revolving accounts
num_rev_tl_bal_gt_0,Number of revolving trades with balance >0
num_sats,Number of satisfactory accounts
num_tl_120dpd_2m,Number of accounts currently 120 days past due (updated in past 2 months)
num_tl_30dpd,Number of accounts currently 30 days past due (updated in past 2 months)
num_tl_90g_dpd_24m,Number of accounts 90 or more days past due in last 24 months
num_tl_op_past_12m,Number of accounts opened in past 12 months
pct_tl_nvr_dlq,Percent of trades never delinquent
percent_bc_gt_75,Percentage of all bankcard accounts > 75% of limit.
pub_rec_bankruptcies,Number of public record bankruptcies
tax_liens,Number of tax liens
tot_hi_cred_lim,Total high credit/credit limit
total_bal_ex_mort,Total credit balance excluding mortgage
total_bc_limit,Total bankcard high credit/credit limit
total_il_high_credit_limit,Total installment high credit/credit limit
